"ID","model","n_points","converged","R2","AIC","AICc","BIC"
"Aerobic Mesophilic._7_Cooked Chicken Breast_3","Logistic",11,TRUE,0.946619067465174,0.932373363073471,4.3609447916449,2.12605918146858
"Aerobic Mesophilic._7_Raw Chicken Breast_3","Quadratic",14,TRUE,0.930335859411856,-0.799718709748499,1.6002812902515,1.11745327909728
"Aerobic Mesophilic._7_Raw Chicken Breast_3","Logistic",14,TRUE,0.947525981633413,-4.76686432987136,-2.36686432987136,-2.84969234102558
"Aerobic Mesophilic._7_Salted Chicken Breast_3","Quadratic",13,TRUE,0.965155500449711,-11.2338250585845,-8.56715839191785,-9.53897698619991
"Aerobic Mesophilic._7_Salted Chicken Breast_3","Logistic",13,TRUE,0.960613627469248,-9.64100540157022,-6.97433873490355,-7.94615732918561
"Aerobic Psychotropic._10_Cooked Chicken Breast_3","Quadratic",12,TRUE,0.960311476647385,-10.7350538897488,-7.73505388974885,-9.28033394038485
"Aerobic Psychotropic._10_Cooked Chicken Breast_3","Logistic",12,TRUE,0.975025131275076,-16.2933578096093,-13.2933578096093,-14.8386378602453
"Aerobic Psychotropic._10_Raw Chicken Breast_3","Quadratic",12,TRUE,0.949304513630617,-10.046886844219,-7.046886844219,-8.59216689485499
"Aerobic Psychotropic._10_Raw Chicken Breast_3","Logistic",12,TRUE,0.965323229091266,-14.60408897058,-11.60408897058,-13.149369021216
"Aerobic Psychotropic._10_Salted Chicken Breast_3","Quadratic",12,TRUE,0.969792554614335,-17.3005980630132,-14.3005980630132,-15.8458781136492
"Aerobic Psychotropic._10_Salted Chicken Breast_3","Logistic",12,TRUE,0.984289931486156,-25.1460374613211,-22.1460374613211,-23.6913175119571
"Aerobic Psychotropic._15_Cooked Chicken Breast_3","Quadratic",9,TRUE,0.984871495305071,-15.466424075587,-10.666424075587,-14.8747503435783
"Aerobic Psychotropic._15_Cooked Chicken Breast_3","Logistic",9,TRUE,0.993272773049591,-22.7601831661437,-17.9601831661437,-22.168509434135
"Aerobic Psychotropic._15_Raw Chicken Breast_3","Quadratic",10,TRUE,0.958137521706624,-6.74933994993836,-2.74933994993836,-5.84158467095622
"Aerobic Psychotropic._15_Raw Chicken Breast_3","Logistic",10,TRUE,0.973973321574303,-11.5020180934846,-7.50201809348458,-10.5942628145024
"Aerobic Psychotropic._15_Salted Chicken Breast_3","Quadratic",9,TRUE,0.982528727033238,-17.722066169205,-12.922066169205,-17.1303924371964
"Aerobic Psychotropic._15_Salted Chicken Breast_3","Logistic",9,TRUE,0.989218031345165,-22.0662115268156,-17.2662115268156,-21.4745377948069
"Aerobic Psychotropic._20_Cooked Chicken Breast_3","Quadratic",9,TRUE,0.978451799987472,-14.7464986406215,-9.94649864062154,-14.1548249086129
"Aerobic Psychotropic._20_Cooked Chicken Breast_3","Logistic",9,TRUE,0.981672861267111,-16.2036826537302,-11.4036826537302,-15.6120089217216
"Aerobic Psychotropic._20_Raw Chicken Breast_3","Quadratic",8,TRUE,0.980009903635636,-13.3341708666701,-7.33417086667013,-13.0958462416306
"Aerobic Psychotropic._20_Raw Chicken Breast_3","Logistic",8,TRUE,0.987251192408771,-16.9325646599088,-10.9325646599088,-16.6942400348693
"Aerobic Psychotropic._20_Salted Chicken Breast_3","Quadratic",6,TRUE,0.988924036527256,-14.8947951773801,-2.89479517738014,-15.519516769696
"Aerobic Psychotropic._20_Salted Chicken Breast_3","Logistic",6,TRUE,0.989924396186528,-15.4627567945828,-3.46275679458284,-16.0874783868987
"Aerobic Psychotropic._2_Cooked Chicken Breast_3","Quadratic",9,TRUE,0.933593854864452,0.903871071085661,5.70387107108566,1.49554480309432
"Aerobic Psychotropic._2_Cooked Chicken Breast_3","Logistic",9,TRUE,0.940169341135564,-0.0345713471645546,4.76542865283545,0.557102384844104
"Aerobic Psychotropic._2_Raw Chicken Breast_3","Quadratic",10,TRUE,0.971804931986045,-12.2642122252335,-8.26421222523348,-11.3564569462513
"Aerobic Psychotropic._2_Raw Chicken Breast_3","Logistic",10,TRUE,0.985209982205088,-18.7161581215584,-14.7161581215584,-17.8084028425762
"Aerobic Psychotropic._2_Salted Chicken Breast_3","Quadratic",10,TRUE,0.965910690847344,-12.015994472034,-8.01599447203397,-11.1082391930518
"Aerobic Psychotropic._2_Salted Chicken Breast_3","Logistic",10,TRUE,0.979449964578782,-17.0772060315105,-13.0772060315105,-16.1694507525283
"Aerobic Psychotropic._4_Cooked Chicken Breast_3","Quadratic",7,TRUE,0.954032470774364,0.290676527752627,8.29067652775263,0.128406974918566
"Aerobic Psychotropic._4_Cooked Chicken Breast_3","Logistic",7,TRUE,0.969393016399471,-2.5562728619769,5.4437271380231,-2.71854241481096
"Aerobic Psychotropic._4_Raw Chicken Breast_3","Quadratic",6,TRUE,0.988732277216846,-12.4627706437418,-0.462770643741848,-13.0874922360577
"Aerobic Psychotropic._4_Raw Chicken Breast_3","Logistic",6,TRUE,0.991651340889933,-14.261818487126,-2.26181848712605,-14.8865400794419
"Aerobic Psychotropic._4_Salted Chicken Breast_3","Quadratic",6,TRUE,0.994153536663978,-17.1324521832111,-5.13245218321105,-17.7571737755269
"Aerobic Psychotropic._4_Salted Chicken Breast_3","Logistic",6,TRUE,0.997984722732589,-23.5229329803397,-11.5229329803397,-24.1476545726555
"Aerobic Psychotropic._7_Cooked Chicken Breast_3","Quadratic",13,TRUE,0.918681841469071,1.50665740035246,4.17332406701913,3.20150547273707
"Aerobic Psychotropic._7_Cooked Chicken Breast_3","Logistic",13,TRUE,0.935241399367047,-1.45347930789614,1.21318735877053,0.24136876448847
"Aerobic Psychotropic._7_Raw Chicken Breast_3","Quadratic",13,TRUE,0.9213248092232,-1.02226903630658,1.64439763036009,0.672579036078031
"Aerobic Psychotropic._7_Raw Chicken Breast_3","Logistic",13,TRUE,0.94322087035691,-5.2623366274758,-2.59566996080914,-3.56748855509119
